pref,city,2023-06-06
滋賀県,滋賀県,348
滋賀県,大津市,112
滋賀県,彦根市,41
滋賀県,長浜市,11
滋賀県,近江八幡市,19
滋賀県,草津市,57
滋賀県,守山市,32
滋賀県,栗東市,15
滋賀県,甲賀市,13
滋賀県,野洲市,12
滋賀県,湖南市,4
滋賀県,高島市,6
滋賀県,東近江市,13
滋賀県,米原市,1
滋賀県,蒲生郡日野町,4
滋賀県,蒲生郡竜王町,2
滋賀県,愛知郡愛荘町,5
滋賀県,犬上郡豊郷町,1
京都府,京都府,1461
京都府,京都市北区,70
京都府,京都市上京区,75
京都府,京都市左京区,78
京都府,京都市中京区,308
京都府,京都市東山区,85
京都府,京都市下京区,150
京都府,京都市南区,60
京都府,京都市右京区,95
京都府,京都市伏見区,118
京都府,京都市山科区,59
京都府,京都市西京区,47
京都府,福知山市,22
京都府,舞鶴市,37
京都府,綾部市,4
京都府,宇治市,52
京都府,宮津市,4
京都府,亀岡市,21
京都府,城陽市,15
京都府,向日市,20
京都府,長岡京市,32
京都府,八幡市,20
京都府,京田辺市,27
京都府,京丹後市,11
京都府,南丹市,5
京都府,木津川市,25
京都府,久世郡久御山町,7
京都府,綴喜郡井手町,2
京都府,綴喜郡宇治田原町,2
京都府,相楽郡和束町,1
京都府,相楽郡精華町,5
京都府,与謝郡伊根町,1
京都府,与謝郡与謝野町,3
大阪府,大阪府,8464
大阪府,大阪市都島区,185
大阪府,大阪市福島区,134
大阪府,大阪市此花区,49
大阪府,大阪市西区,245
大阪府,大阪市港区,56
大阪府,大阪市大正区,52
大阪府,大阪市天王寺区,160
大阪府,大阪市浪速区,140
大阪府,大阪市西淀川区,48
大阪府,大阪市東淀川区,141
大阪府,大阪市東成区,129
大阪府,大阪市生野区,104
大阪府,大阪市旭区,96
大阪府,大阪市城東区,139
大阪府,大阪市阿倍野区,168
大阪府,大阪市住吉区,169
大阪府,大阪市東住吉区,108
大阪府,大阪市西成区,77
大阪府,大阪市淀川区,249
大阪府,大阪市鶴見区,77
大阪府,大阪市住之江区,60
大阪府,大阪市平野区,106
大阪府,大阪市北区,825
大阪府,大阪市中央区,969
大阪府,堺市堺区,159
大阪府,堺市中区,64
大阪府,堺市東区,57
大阪府,堺市西区,90
大阪府,堺市南区,72
大阪府,堺市北区,124
大阪府,堺市美原区,25
大阪府,岸和田市,86
大阪府,豊中市,312
大阪府,池田市,98
大阪府,吹田市,274
大阪府,泉大津市,41
大阪府,高槻市,262
大阪府,貝塚市,48
大阪府,守口市,99
大阪府,枚方市,225
大阪府,茨木市,194
大阪府,八尾市,185
大阪府,泉佐野市,81
大阪府,富田林市,47
大阪府,寝屋川市,130
大阪府,河内長野市,46
大阪府,松原市,69
大阪府,大東市,62
大阪府,和泉市,91
大阪府,箕面市,141
大阪府,柏原市,24
大阪府,羽曳野市,39
大阪府,門真市,87
大阪府,摂津市,50
大阪府,高石市,36
大阪府,藤井寺市,28
大阪府,東大阪市,398
大阪府,泉南市,34
大阪府,四條畷市,28
大阪府,交野市,42
大阪府,大阪狭山市,38
大阪府,阪南市,19
大阪府,三島郡島本町,12
大阪府,豊能郡豊能町,3
大阪府,豊能郡能勢町,3
大阪府,泉北郡忠岡町,2
大阪府,泉南郡熊取町,26
大阪府,泉南郡田尻町,2
大阪府,泉南郡岬町,10
大阪府,南河内郡太子町,9
大阪府,南河内郡河南町,6
兵庫県,兵庫県,2768
兵庫県,神戸市東灘区,126
兵庫県,神戸市灘区,122
兵庫県,神戸市兵庫区,76
兵庫県,神戸市長田区,67
兵庫県,神戸市須磨区,80
兵庫県,神戸市垂水区,79
兵庫県,神戸市北区,91
兵庫県,神戸市中央区,598
兵庫県,神戸市西区,74
兵庫県,姫路市,171
兵庫県,尼崎市,235
兵庫県,明石市,120
兵庫県,西宮市,253
兵庫県,洲本市,23
兵庫県,芦屋市,55
兵庫県,伊丹市,93
兵庫県,相生市,2
兵庫県,豊岡市,9
兵庫県,加古川市,63
兵庫県,赤穂市,5
兵庫県,西脇市,8
兵庫県,宝塚市,137
兵庫県,三木市,19
兵庫県,高砂市,16
兵庫県,川西市,74
兵庫県,小野市,7
兵庫県,三田市,54
兵庫県,加西市,7
兵庫県,丹波篠山市,4
兵庫県,丹波市,10
兵庫県,南あわじ市,7
