pref,city,2026-02-26
滋賀県,滋賀県,279
滋賀県,大津市,83
滋賀県,彦根市,30
滋賀県,長浜市,10
滋賀県,近江八幡市,15
滋賀県,草津市,41
滋賀県,守山市,27
滋賀県,栗東市,10
滋賀県,甲賀市,15
滋賀県,野洲市,9
滋賀県,湖南市,9
滋賀県,高島市,9
滋賀県,東近江市,17
滋賀県,蒲生郡日野町,1
滋賀県,蒲生郡竜王町,1
滋賀県,愛知郡愛荘町,2
京都府,京都府,954
京都府,京都市北区,46
京都府,京都市上京区,40
京都府,京都市左京区,56
京都府,京都市中京区,165
京都府,京都市東山区,55
京都府,京都市下京区,103
京都府,京都市南区,40
京都府,京都市右京区,58
京都府,京都市伏見区,86
京都府,京都市山科区,33
京都府,京都市西京区,40
京都府,福知山市,17
京都府,舞鶴市,24
京都府,綾部市,4
京都府,宇治市,37
京都府,宮津市,3
京都府,亀岡市,13
京都府,城陽市,13
京都府,向日市,11
京都府,長岡京市,23
京都府,八幡市,9
京都府,京田辺市,17
京都府,京丹後市,17
京都府,南丹市,8
京都府,木津川市,16
京都府,乙訓郡大山崎町,3
京都府,久世郡久御山町,7
京都府,相楽郡精華町,3
京都府,与謝郡伊根町,1
京都府,与謝郡与謝野町,6
大阪府,大阪府,5010
大阪府,大阪市都島区,109
大阪府,大阪市福島区,72
大阪府,大阪市此花区,21
大阪府,大阪市西区,135
大阪府,大阪市港区,31
大阪府,大阪市大正区,25
大阪府,大阪市天王寺区,84
大阪府,大阪市浪速区,74
大阪府,大阪市西淀川区,25
大阪府,大阪市東淀川区,83
大阪府,大阪市東成区,61
大阪府,大阪市生野区,48
大阪府,大阪市旭区,59
大阪府,大阪市城東区,77
大阪府,大阪市阿倍野区,80
大阪府,大阪市住吉区,99
大阪府,大阪市東住吉区,54
大阪府,大阪市西成区,31
大阪府,大阪市淀川区,142
大阪府,大阪市鶴見区,42
大阪府,大阪市住之江区,29
大阪府,大阪市平野区,45
大阪府,大阪市北区,455
大阪府,大阪市中央区,534
大阪府,堺市堺区,113
大阪府,堺市中区,52
大阪府,堺市東区,39
大阪府,堺市西区,62
大阪府,堺市南区,34
大阪府,堺市北区,86
大阪府,堺市美原区,21
大阪府,岸和田市,55
大阪府,豊中市,196
大阪府,池田市,75
大阪府,吹田市,179
大阪府,泉大津市,26
大阪府,高槻市,173
大阪府,貝塚市,32
大阪府,守口市,51
大阪府,枚方市,155
大阪府,茨木市,117
大阪府,八尾市,130
大阪府,泉佐野市,47
大阪府,富田林市,23
大阪府,寝屋川市,95
大阪府,河内長野市,36
大阪府,松原市,42
大阪府,大東市,37
大阪府,和泉市,58
大阪府,箕面市,99
大阪府,柏原市,16
大阪府,羽曳野市,23
大阪府,門真市,60
大阪府,摂津市,30
大阪府,高石市,27
大阪府,藤井寺市,14
大阪府,東大阪市,232
大阪府,泉南市,27
大阪府,四條畷市,17
大阪府,交野市,26
大阪府,大阪狭山市,25
大阪府,阪南市,17
大阪府,三島郡島本町,8
大阪府,豊能郡豊能町,4
大阪府,豊能郡能勢町,5
大阪府,泉北郡忠岡町,1
大阪府,泉南郡熊取町,16
