pref,city,2022-11-16
滋賀県,滋賀県,337
滋賀県,大津市,111
滋賀県,彦根市,42
滋賀県,長浜市,9
滋賀県,近江八幡市,18
滋賀県,草津市,52
滋賀県,守山市,31
滋賀県,栗東市,15
滋賀県,甲賀市,11
滋賀県,野洲市,13
滋賀県,湖南市,5
滋賀県,高島市,7
滋賀県,東近江市,12
滋賀県,米原市,1
滋賀県,蒲生郡日野町,3
滋賀県,蒲生郡竜王町,1
滋賀県,愛知郡愛荘町,5
滋賀県,犬上郡豊郷町,1
京都府,京都府,1352
京都府,京都市北区,67
京都府,京都市上京区,74
京都府,京都市左京区,81
京都府,京都市中京区,256
京都府,京都市東山区,66
京都府,京都市下京区,143
京都府,京都市南区,59
京都府,京都市右京区,93
京都府,京都市伏見区,111
京都府,京都市山科区,56
京都府,京都市西京区,45
京都府,福知山市,20
京都府,舞鶴市,37
京都府,綾部市,5
京都府,宇治市,49
京都府,宮津市,4
京都府,亀岡市,18
京都府,城陽市,14
京都府,向日市,20
京都府,長岡京市,32
京都府,八幡市,20
京都府,京田辺市,25
京都府,京丹後市,11
京都府,南丹市,5
京都府,木津川市,21
京都府,久世郡久御山町,6
京都府,綴喜郡井手町,2
京都府,綴喜郡宇治田原町,3
京都府,相楽郡和束町,1
京都府,相楽郡精華町,5
京都府,与謝郡伊根町,1
京都府,与謝郡与謝野町,2
大阪府,大阪府,8392
大阪府,大阪市都島区,177
大阪府,大阪市福島区,129
大阪府,大阪市此花区,49
大阪府,大阪市西区,256
大阪府,大阪市港区,53
大阪府,大阪市大正区,48
大阪府,大阪市天王寺区,173
大阪府,大阪市浪速区,147
大阪府,大阪市西淀川区,44
大阪府,大阪市東淀川区,141
大阪府,大阪市東成区,129
大阪府,大阪市生野区,113
大阪府,大阪市旭区,103
大阪府,大阪市城東区,136
大阪府,大阪市阿倍野区,180
大阪府,大阪市住吉区,165
大阪府,大阪市東住吉区,107
大阪府,大阪市西成区,81
大阪府,大阪市淀川区,238
大阪府,大阪市鶴見区,77
大阪府,大阪市住之江区,56
大阪府,大阪市平野区,106
大阪府,大阪市北区,787
大阪府,大阪市中央区,941
大阪府,堺市堺区,153
大阪府,堺市中区,65
大阪府,堺市東区,51
大阪府,堺市西区,83
大阪府,堺市南区,74
大阪府,堺市北区,129
大阪府,堺市美原区,26
大阪府,岸和田市,77
大阪府,豊中市,315
大阪府,池田市,99
大阪府,吹田市,281
大阪府,泉大津市,44
大阪府,高槻市,256
大阪府,貝塚市,45
大阪府,守口市,101
大阪府,枚方市,214
大阪府,茨木市,193
大阪府,八尾市,181
大阪府,泉佐野市,80
大阪府,富田林市,49
大阪府,寝屋川市,127
大阪府,河内長野市,46
大阪府,松原市,68
大阪府,大東市,64
大阪府,和泉市,86
大阪府,箕面市,153
大阪府,柏原市,25
大阪府,羽曳野市,42
大阪府,門真市,88
大阪府,摂津市,51
大阪府,高石市,38
大阪府,藤井寺市,29
大阪府,東大阪市,398
大阪府,泉南市,30
大阪府,四條畷市,28
大阪府,交野市,42
大阪府,大阪狭山市,38
大阪府,阪南市,17
大阪府,三島郡島本町,15
大阪府,豊能郡豊能町,2
大阪府,豊能郡能勢町,2
大阪府,泉北郡忠岡町,4
大阪府,泉南郡熊取町,26
