pref,city,2022-02-24
滋賀県,滋賀県,238
滋賀県,大津市,77
滋賀県,彦根市,33
滋賀県,長浜市,4
滋賀県,近江八幡市,14
滋賀県,草津市,27
滋賀県,守山市,29
滋賀県,栗東市,10
滋賀県,甲賀市,8
滋賀県,野洲市,11
滋賀県,湖南市,5
滋賀県,高島市,6
滋賀県,東近江市,6
滋賀県,蒲生郡日野町,2
滋賀県,蒲生郡竜王町,1
滋賀県,愛知郡愛荘町,5
京都府,京都府,902
京都府,京都市北区,40
京都府,京都市上京区,48
京都府,京都市左京区,57
京都府,京都市中京区,141
京都府,京都市東山区,37
京都府,京都市下京区,90
京都府,京都市南区,31
京都府,京都市右京区,59
京都府,京都市伏見区,75
京都府,京都市山科区,42
京都府,京都市西京区,39
京都府,福知山市,19
京都府,舞鶴市,37
京都府,綾部市,3
京都府,宇治市,42
京都府,宮津市,3
京都府,亀岡市,12
京都府,城陽市,8
京都府,向日市,15
京都府,長岡京市,20
京都府,八幡市,17
京都府,京田辺市,23
京都府,京丹後市,6
京都府,南丹市,4
京都府,木津川市,15
京都府,乙訓郡大山崎町,2
京都府,久世郡久御山町,5
京都府,綴喜郡宇治田原町,2
京都府,相楽郡和束町,1
京都府,相楽郡精華町,6
京都府,与謝郡伊根町,1
京都府,与謝郡与謝野町,2
大阪府,大阪府,6064
大阪府,大阪市都島区,122
大阪府,大阪市福島区,85
大阪府,大阪市此花区,39
大阪府,大阪市西区,157
大阪府,大阪市港区,36
大阪府,大阪市大正区,38
大阪府,大阪市天王寺区,116
大阪府,大阪市浪速区,97
大阪府,大阪市西淀川区,39
大阪府,大阪市東淀川区,116
大阪府,大阪市東成区,95
大阪府,大阪市生野区,80
大阪府,大阪市旭区,89
大阪府,大阪市城東区,108
大阪府,大阪市阿倍野区,144
大阪府,大阪市住吉区,123
大阪府,大阪市東住吉区,82
大阪府,大阪市西成区,69
大阪府,大阪市淀川区,166
大阪府,大阪市鶴見区,59
大阪府,大阪市住之江区,45
大阪府,大阪市平野区,79
大阪府,大阪市北区,453
大阪府,大阪市中央区,497
大阪府,堺市堺区,99
大阪府,堺市中区,50
大阪府,堺市東区,32
大阪府,堺市西区,67
大阪府,堺市南区,60
大阪府,堺市北区,105
大阪府,堺市美原区,24
大阪府,岸和田市,56
大阪府,豊中市,263
大阪府,池田市,77
大阪府,吹田市,237
大阪府,泉大津市,31
大阪府,高槻市,205
大阪府,貝塚市,39
大阪府,守口市,87
大阪府,枚方市,170
大阪府,茨木市,160
大阪府,八尾市,128
大阪府,泉佐野市,75
大阪府,富田林市,37
大阪府,寝屋川市,93
大阪府,河内長野市,32
大阪府,松原市,61
大阪府,大東市,53
大阪府,和泉市,69
大阪府,箕面市,129
大阪府,柏原市,18
大阪府,羽曳野市,29
大阪府,門真市,69
大阪府,摂津市,50
大阪府,高石市,26
大阪府,藤井寺市,23
大阪府,東大阪市,282
大阪府,泉南市,24
大阪府,四條畷市,21
大阪府,交野市,38
大阪府,大阪狭山市,36
大阪府,阪南市,15
大阪府,三島郡島本町,9
大阪府,豊能郡豊能町,1
大阪府,泉北郡忠岡町,4
大阪府,泉南郡熊取町,26
大阪府,泉南郡田尻町,2
大阪府,泉南郡岬町,9
大阪府,南河内郡太子町,5
大阪府,南河内郡河南町,4
兵庫県,兵庫県,1944
兵庫県,神戸市東灘区,95
兵庫県,神戸市灘区,82
兵庫県,神戸市兵庫区,52
兵庫県,神戸市長田区,54
兵庫県,神戸市須磨区,58
兵庫県,神戸市垂水区,76
兵庫県,神戸市北区,76
兵庫県,神戸市中央区,362
兵庫県,神戸市西区,64
兵庫県,姫路市,77
兵庫県,尼崎市,176
兵庫県,明石市,81
