pref,city,2022-02-28
徳島県,徳島県,81
徳島県,徳島市,30
徳島県,鳴門市,7
徳島県,小松島市,5
徳島県,阿南市,5
徳島県,吉野川市,4
徳島県,阿波市,3
徳島県,三好市,9
徳島県,名西郡石井町,2
徳島県,板野郡松茂町,5
徳島県,板野郡北島町,3
徳島県,板野郡藍住町,5
徳島県,美馬郡つるぎ町,1
徳島県,三好郡東みよし町,2
香川県,香川県,146
香川県,高松市,73
香川県,丸亀市,24
香川県,坂出市,11
香川県,善通寺市,9
香川県,観音寺市,6
香川県,さぬき市,1
香川県,三豊市,9
香川県,小豆郡土庄町,3
香川県,小豆郡小豆島町,1
香川県,木田郡三木町,4
香川県,綾歌郡宇多津町,1
香川県,綾歌郡綾川町,2
香川県,仲多度郡多度津町,1
香川県,仲多度郡まんのう町,1
愛媛県,愛媛県,295
愛媛県,松山市,150
愛媛県,今治市,33
愛媛県,宇和島市,3
愛媛県,新居浜市,22
愛媛県,西条市,36
愛媛県,大洲市,14
愛媛県,伊予市,10
愛媛県,四国中央市,8
愛媛県,東温市,3
愛媛県,上浮穴郡久万高原町,1
愛媛県,伊予郡松前町,7
愛媛県,伊予郡砥部町,5
愛媛県,喜多郡内子町,2
愛媛県,南宇和郡愛南町,1
高知県,高知県,108
高知県,高知市,70
高知県,安芸市,1
高知県,南国市,10
高知県,土佐市,3
高知県,須崎市,2
高知県,四万十市,2
高知県,香南市,4
高知県,香美市,6
高知県,安芸郡芸西村,1
高知県,吾川郡いの町,2
高知県,吾川郡仁淀川町,2
高知県,高岡郡佐川町,4
高知県,高岡郡津野町,1
