pref,city,2022-06-14
鳥取県,鳥取県,298
鳥取県,鳥取市,94
鳥取県,米子市,52
鳥取県,倉吉市,23
鳥取県,境港市,14
鳥取県,岩美郡岩美町,6
鳥取県,八頭郡若桜町,4
鳥取県,八頭郡智頭町,9
鳥取県,八頭郡八頭町,8
鳥取県,東伯郡三朝町,6
鳥取県,東伯郡湯梨浜町,8
鳥取県,東伯郡琴浦町,10
鳥取県,東伯郡北栄町,9
鳥取県,西伯郡日吉津村,2
鳥取県,西伯郡大山町,13
鳥取県,西伯郡南部町,9
鳥取県,西伯郡伯耆町,16
鳥取県,日野郡日南町,6
鳥取県,日野郡日野町,8
鳥取県,日野郡江府町,1
島根県,島根県,569
島根県,松江市,116
島根県,浜田市,42
島根県,出雲市,75
島根県,益田市,56
島根県,大田市,44
島根県,安来市,36
島根県,江津市,28
島根県,雲南市,31
島根県,仁多郡奥出雲町,16
島根県,飯石郡飯南町,8
島根県,邑智郡川本町,28
島根県,邑智郡美郷町,17
島根県,邑智郡邑南町,11
島根県,鹿足郡津和野町,47
島根県,鹿足郡吉賀町,4
島根県,隠岐郡隠岐の島町,10
岡山県,岡山県,786
岡山県,岡山市北区,76
岡山県,岡山市中区,29
岡山県,岡山市東区,40
岡山県,岡山市南区,32
岡山県,倉敷市,162
岡山県,津山市,53
岡山県,玉野市,37
岡山県,笠岡市,34
岡山県,井原市,23
岡山県,総社市,46
岡山県,高梁市,10
岡山県,新見市,14
岡山県,備前市,30
岡山県,瀬戸内市,19
岡山県,赤磐市,16
岡山県,真庭市,36
岡山県,美作市,22
岡山県,浅口市,22
岡山県,和気郡和気町,8
岡山県,都窪郡早島町,5
岡山県,浅口郡里庄町,7
岡山県,小田郡矢掛町,12
岡山県,苫田郡鏡野町,16
岡山県,勝田郡勝央町,12
岡山県,勝田郡奈義町,4
岡山県,英田郡西粟倉村,3
岡山県,久米郡久米南町,1
岡山県,久米郡美咲町,11
岡山県,加賀郡吉備中央町,6
広島県,広島県,963
広島県,広島市中区,39
広島県,広島市東区,25
広島県,広島市南区,29
広島県,広島市西区,21
広島県,広島市安佐南区,47
広島県,広島市安佐北区,55
広島県,広島市安芸区,18
広島県,広島市佐伯区,41
広島県,呉市,63
広島県,竹原市,17
広島県,三原市,39
広島県,尾道市,50
広島県,福山市,134
広島県,府中市,4
広島県,三次市,51
広島県,庄原市,78
広島県,大竹市,4
広島県,東広島市,75
広島県,廿日市市,38
広島県,安芸高田市,25
広島県,江田島市,27
広島県,安芸郡府中町,5
広島県,安芸郡海田町,6
広島県,安芸郡熊野町,10
広島県,安芸郡坂町,3
広島県,山県郡安芸太田町,14
広島県,山県郡北広島町,23
広島県,豊田郡大崎上島町,5
広島県,世羅郡世羅町,9
広島県,神石郡神石高原町,8
山口県,山口県,711
山口県,下関市,103
山口県,宇部市,66
山口県,山口市,89
山口県,萩市,69
山口県,防府市,35
山口県,下松市,20
山口県,岩国市,77
山口県,光市,17
山口県,長門市,41
山口県,柳井市,20
山口県,美祢市,21
山口県,周南市,71
山口県,山陽小野田市,34
山口県,大島郡周防大島町,15
山口県,玖珂郡和木町,2
山口県,熊毛郡上関町,6
山口県,熊毛郡田布施町,7
山口県,熊毛郡平生町,9
山口県,阿武郡阿武町,9
