pref,city,2024-06-12
鳥取県,鳥取県,183
鳥取県,鳥取市,48
鳥取県,米子市,92
鳥取県,倉吉市,21
鳥取県,境港市,5
鳥取県,八頭郡智頭町,1
鳥取県,八頭郡八頭町,1
鳥取県,東伯郡琴浦町,6
鳥取県,西伯郡日吉津村,1
鳥取県,西伯郡南部町,3
鳥取県,西伯郡伯耆町,4
鳥取県,日野郡江府町,1
島根県,島根県,198
島根県,松江市,82
島根県,浜田市,11
島根県,出雲市,56
島根県,益田市,8
島根県,大田市,13
島根県,安来市,4
島根県,江津市,4
島根県,雲南市,11
島根県,邑智郡川本町,1
島根県,鹿足郡津和野町,1
島根県,隠岐郡西ノ島町,1
島根県,隠岐郡隠岐の島町,6
岡山県,岡山県,662
岡山県,岡山市北区,192
岡山県,岡山市中区,36
岡山県,岡山市東区,26
岡山県,岡山市南区,68
岡山県,倉敷市,141
岡山県,津山市,42
岡山県,玉野市,12
岡山県,笠岡市,8
岡山県,井原市,3
岡山県,総社市,20
岡山県,高梁市,3
岡山県,備前市,19
岡山県,瀬戸内市,14
岡山県,赤磐市,17
岡山県,真庭市,17
岡山県,美作市,2
岡山県,浅口市,5
岡山県,和気郡和気町,7
岡山県,都窪郡早島町,8
岡山県,浅口郡里庄町,2
岡山県,小田郡矢掛町,7
岡山県,勝田郡勝央町,6
岡山県,勝田郡奈義町,6
岡山県,英田郡西粟倉村,1
広島県,広島県,871
広島県,広島市中区,143
広島県,広島市東区,40
広島県,広島市南区,39
広島県,広島市西区,53
広島県,広島市安佐南区,73
広島県,広島市安佐北区,24
広島県,広島市安芸区,18
広島県,広島市佐伯区,59
広島県,呉市,47
広島県,竹原市,3
広島県,三原市,9
広島県,尾道市,35
広島県,福山市,152
広島県,府中市,3
広島県,三次市,6
広島県,庄原市,6
広島県,大竹市,8
広島県,東広島市,62
広島県,廿日市市,51
広島県,江田島市,5
広島県,安芸郡府中町,11
広島県,安芸郡海田町,8
広島県,安芸郡熊野町,7
広島県,安芸郡坂町,4
広島県,山県郡安芸太田町,5
山口県,山口県,300
山口県,下関市,88
山口県,宇部市,43
山口県,山口市,40
山口県,萩市,5
山口県,防府市,22
山口県,下松市,8
山口県,岩国市,28
山口県,光市,10
山口県,長門市,3
山口県,柳井市,6
山口県,美祢市,2
山口県,周南市,17
山口県,山陽小野田市,22
山口県,熊毛郡田布施町,3
山口県,熊毛郡平生町,2
山口県,阿武郡阿武町,1
