pref,city,2022-06-23
鳥取県,鳥取県,173
鳥取県,鳥取市,47
鳥取県,米子市,86
鳥取県,倉吉市,23
鳥取県,境港市,6
鳥取県,東伯郡琴浦町,4
鳥取県,西伯郡南部町,3
鳥取県,西伯郡伯耆町,3
鳥取県,日野郡江府町,1
島根県,島根県,169
島根県,松江市,84
島根県,浜田市,6
島根県,出雲市,53
島根県,益田市,4
島根県,大田市,3
島根県,安来市,5
島根県,雲南市,7
島根県,邑智郡川本町,2
島根県,邑智郡美郷町,1
島根県,隠岐郡隠岐の島町,4
岡山県,岡山県,647
岡山県,岡山市北区,192
岡山県,岡山市中区,37
岡山県,岡山市東区,25
岡山県,岡山市南区,66
岡山県,倉敷市,147
岡山県,津山市,32
岡山県,玉野市,12
岡山県,笠岡市,7
岡山県,井原市,6
岡山県,総社市,26
岡山県,高梁市,2
岡山県,備前市,14
岡山県,瀬戸内市,16
岡山県,赤磐市,15
岡山県,真庭市,16
岡山県,美作市,4
岡山県,浅口市,2
岡山県,和気郡和気町,6
岡山県,都窪郡早島町,5
岡山県,小田郡矢掛町,8
岡山県,勝田郡勝央町,2
岡山県,勝田郡奈義町,6
岡山県,英田郡西粟倉村,1
広島県,広島県,790
広島県,広島市中区,120
広島県,広島市東区,36
広島県,広島市南区,45
広島県,広島市西区,64
広島県,広島市安佐南区,74
広島県,広島市安佐北区,20
広島県,広島市安芸区,15
広島県,広島市佐伯区,53
広島県,呉市,42
広島県,竹原市,3
広島県,三原市,6
広島県,尾道市,29
広島県,福山市,128
広島県,府中市,3
広島県,三次市,4
広島県,庄原市,9
広島県,大竹市,5
広島県,東広島市,54
広島県,廿日市市,33
広島県,江田島市,3
広島県,安芸郡府中町,15
広島県,安芸郡海田町,11
広島県,安芸郡熊野町,7
広島県,安芸郡坂町,7
広島県,山県郡安芸太田町,4
山口県,山口県,276
山口県,下関市,85
山口県,宇部市,42
山口県,山口市,38
山口県,萩市,5
山口県,防府市,24
山口県,下松市,5
山口県,岩国市,28
山口県,光市,5
山口県,長門市,1
山口県,柳井市,4
山口県,美祢市,1
山口県,周南市,11
山口県,山陽小野田市,24
山口県,玖珂郡和木町,1
山口県,熊毛郡田布施町,2
